,Units,scenario,region,sector,subsector,technology,Year,value
130,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,gas,natural gas steam reforming CCS,2055,8168.86
131,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,gas,natural gas steam reforming CCS,2060,8256.74
132,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,gas,natural gas steam reforming CCS,2065,8256.83
133,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,gas,natural gas steam reforming CCS,2070,8256.91
134,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,gas,natural gas steam reforming CCS,2075,8256.96
135,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,gas,natural gas steam reforming CCS,2080,8257.01
136,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,gas,natural gas steam reforming CCS,2085,8257.06
137,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,gas,natural gas steam reforming CCS,2090,8257.11
138,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,gas,natural gas steam reforming CCS,2095,8257.19
139,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,gas,natural gas steam reforming CCS,2100,8257.25
140,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,nuclear,thermal splitting,2005,8.7443
141,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,nuclear,thermal splitting,2010,8.75645
142,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,nuclear,thermal splitting,2015,8.7673
143,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,nuclear,thermal splitting,2020,8.7269
144,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,nuclear,thermal splitting,2025,8.68776
145,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,nuclear,thermal splitting,2030,8.65036
146,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,nuclear,thermal splitting,2035,8.61498
147,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,nuclear,thermal splitting,2040,8.58145
148,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,nuclear,thermal splitting,2045,8.55013
149,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,nuclear,thermal splitting,2050,8.52081
150,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,nuclear,thermal splitting,2055,8.49336
151,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,nuclear,thermal splitting,2060,8.46812
152,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,nuclear,thermal splitting,2065,8.43867
153,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,nuclear,thermal splitting,2070,8.40767
154,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,nuclear,thermal splitting,2075,8.37811
155,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,nuclear,thermal splitting,2080,8.34952
156,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,nuclear,thermal splitting,2085,8.32181
157,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,nuclear,thermal splitting,2090,8.29473
158,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,nuclear,thermal splitting,2095,8.26809
159,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,nuclear,thermal splitting,2100,8.24155
160,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,solar,electrolysis,2005,23.1106
161,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,solar,electrolysis,2010,23.1114
162,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,solar,electrolysis,2015,23.1112
163,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,solar,electrolysis,2020,17.5214
164,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,solar,electrolysis,2025,13.9552
165,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,solar,electrolysis,2030,11.5431
166,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,solar,electrolysis,2035,9.8391
167,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,solar,electrolysis,2040,8.5134
168,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,solar,electrolysis,2045,7.79801
