,sector,region,scenario,Year,value
220,building,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2055,208.56481519092077
221,building,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2060,155.69700383071236
222,building,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,112.1239842094559
223,building,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,81.6135728718423
224,building,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,60.92729525349903
225,building,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,45.733643624295546
226,building,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2085,34.05111781299901
227,building,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2090,24.34278530919478
228,building,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,16.642425006593903
229,building,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,11.034520408190069
230,building,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2005,33.7786029270783
231,building,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2010,39.569879251096054
232,building,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2015,50.31789648956927
233,building,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2020,61.462937586308804
234,building,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,66.47751857031908
235,building,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,80.19838441260318
236,building,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,92.53176384004124
237,building,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,104.68605561891233
238,building,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,125.14037399787884
239,building,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,141.22587371345438
240,building,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2055,152.4177403523053
241,building,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2060,156.7304537653407
242,building,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,154.6037580604371
243,building,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,149.5396713899967
244,building,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,143.8179323985604
245,building,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,135.97986812751552
246,building,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2085,126.60190700917775
247,building,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2090,115.74679770008589
248,building,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,104.00312583529103
249,building,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,92.93589731684655
250,electricity,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2005,4.356010428557599
251,electricity,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2010,6.082241777568956
252,electricity,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2015,7.712051560376035
253,electricity,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2020,11.500683239084326
254,electricity,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,566.4866401369767
255,electricity,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,656.2433547154178
256,electricity,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,727.7424885134042
257,electricity,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,881.1270408616762
258,electricity,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,1120.162706663946
259,electricity,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,1379.9073488669626
260,electricity,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2055,1567.0390175776088
261,electricity,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2060,1690.9080927605144
262,electricity,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,1540.5360480308802
263,electricity,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,1262.910813357591
264,electricity,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,903.4989780894665
265,electricity,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,566.331446170906
266,electricity,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2085,302.33492993494383
