,Year,region,mode,technology,value
1086,2080,South Asia,rail,Electric,0.0092538969
1087,2080,South Asia,rail,FCEV,0.00294365
1090,2080,South Asia,road,BEV,0.538592266
1091,2080,South Asia,road,FCEV,0.1838511437
1095,2080,South Asia,shipping,BEV,0.0028392985000000003
1096,2080,South Asia,shipping,FCEV,0.0021447239999999998
1099,2085,Africa_Western,aviation,BEV,0.38991395900000003
1102,2085,Africa_Western,rail,BEV,0.00703538
1103,2085,Africa_Western,rail,Electric,0.0038591924
1104,2085,Africa_Western,rail,FCEV,0.00935798
1107,2085,Africa_Western,road,BEV,1.80460005
1108,2085,Africa_Western,road,FCEV,0.7060899060000001
1111,2085,Africa_Western,shipping,BEV,0.005930764
1112,2085,Africa_Western,shipping,FCEV,0.01062498
1115,2085,Brazil,aviation,BEV,0.050955617999999994
1118,2085,Brazil,rail,BEV,0.00890213
1119,2085,Brazil,rail,Electric,0.02880607
1120,2085,Brazil,rail,FCEV,0.013196
1123,2085,Brazil,road,BEV,0.6213659100000001
1124,2085,Brazil,road,FCEV,0.20857884999999998
1128,2085,Brazil,shipping,BEV,0.003547946
1129,2085,Brazil,shipping,FCEV,0.00589966
1132,2085,China,aviation,BEV,0.637751305
1135,2085,China,rail,BEV,0.290188
1136,2085,China,rail,Electric,0.2847406
1137,2085,China,rail,FCEV,0.382352
1140,2085,China,road,BEV,0.7342927199999999
1141,2085,China,road,FCEV,0.35910722500000003
1145,2085,China,shipping,BEV,0.09689186000000001
1146,2085,China,shipping,FCEV,0.0828152
1149,2085,India,aviation,BEV,0.522319354
1152,2085,India,rail,BEV,0.0644308
1153,2085,India,rail,Electric,0.1370262
1154,2085,India,rail,FCEV,0.0955446
1157,2085,India,road,BEV,2.21318365
1158,2085,India,road,FCEV,0.6659515009999999
1162,2085,India,shipping,BEV,0.0053002200000000005
1163,2085,India,shipping,FCEV,0.01378509
1166,2085,South Asia,aviation,BEV,0.02186005
1169,2085,South Asia,rail,BEV,0.0034347600000000002
1170,2085,South Asia,rail,Electric,0.012127846599999999
1171,2085,South Asia,rail,FCEV,0.0032749
1174,2085,South Asia,road,BEV,0.599793209
1175,2085,South Asia,road,FCEV,0.20470778639999998
1179,2085,South Asia,shipping,BEV,0.0031499249
